Model,Run,Pathology,Validation AUC,Test AUC
densenet121,1,Atelectasis,0.6729740847387906,0.6584197924980048
densenet121,1,Cardiomegaly,0.7373684210526316,0.7220122128525734
densenet121,1,Consolidation,0.5353535353535354,0.5078125
densenet121,1,Edema,0.6186868686868687,0.6432160804020101
densenet121,1,Effusion,0.6405141843971631,0.6026315789473684
densenet121,1,Emphysema,0.42666666666666664,0.37743589743589745
densenet121,1,Fibrosis,0.3798720186154741,0.5983645983645984
densenet121,1,Hernia,,0.626057529610829
densenet121,1,Infiltration,0.59,0.6140446379967338
densenet121,1,Mass,0.583934583934584,0.4420572916666667
densenet121,1,Nodule,0.4241302738712065,0.44954928758359985
densenet121,1,Pleural_Thickening,0.543301258327165,0.4932844932844933
densenet121,1,Pneumonia,0.8333333333333333,0.5670572916666666
densenet121,1,Pneumothorax,0.6464646464646464,0.5076530612244898
densenet121,2,Atelectasis,0.525298231180584,0.6342112263899974
densenet121,2,Cardiomegaly,0.7778947368421053,0.7752253562082001
densenet121,2,Consolidation,0.8333333333333334,0.5559895833333334
densenet121,2,Edema,0.6818181818181819,0.8190954773869347
densenet121,2,Effusion,0.7229609929078015,0.5457894736842106
densenet121,2,Emphysema,0.6276923076923078,0.317948717948718
densenet121,2,Fibrosis,0.46538685282140774,0.6734006734006733
densenet121,2,Hernia,,0.793570219966159
densenet121,2,Infiltration,0.6466666666666667,0.5367446924333151
densenet121,2,Mass,0.45358345358345353,0.5013020833333333
densenet121,2,Nodule,0.4552183567727609,0.4289037510904332
densenet121,2,Pleural_Thickening,0.44411547002220575,0.5091575091575091
densenet121,2,Pneumonia,0.6540404040404041,0.5299479166666666
densenet121,2,Pneumothorax,0.7525252525252526,0.524234693877551
densenet121,3,Atelectasis,0.7058823529411765,0.5690343176376695
densenet121,3,Cardiomegaly,0.7368421052631579,0.6894446059901134
densenet121,3,Consolidation,0.7297979797979799,0.630859375
densenet121,3,Edema,0.648989898989899,0.5979899497487438
densenet121,3,Effusion,0.7615248226950355,0.5800000000000001
densenet121,3,Emphysema,0.561025641025641,0.39999999999999997
densenet121,3,Fibrosis,0.493891797556719,0.6127946127946128
densenet121,3,Hernia,,0.4737732656514382
densenet121,3,Infiltration,0.5877777777777778,0.6392669207040464
densenet121,3,Mass,0.5031265031265032,0.42317708333333337
densenet121,3,Nodule,0.5736491487786824,0.47659203256760685
densenet121,3,Pleural_Thickening,0.533678756476684,0.49938949938949945
densenet121,3,Pneumonia,0.7146464646464646,0.5748697916666666
densenet121,3,Pneumothorax,0.6212121212121212,0.6033163265306123
densenet121,4,Atelectasis,0.5364047716988893,0.6456504389465283
densenet121,4,Cardiomegaly,0.7278947368421053,0.7004943297470195
densenet121,4,Consolidation,0.696969696969697,0.6438802083333333
densenet121,4,Edema,0.4949494949494949,0.1959798994974874
densenet121,4,Effusion,0.864804964539007,0.6621052631578948
densenet121,4,Emphysema,0.46974358974358976,0.7794871794871794
densenet121,4,Fibrosis,0.6073298429319371,0.5974025974025974
densenet121,4,Hernia,,0.8612521150592217
densenet121,4,Infiltration,0.7072222222222223,0.5501723825077118
densenet121,4,Mass,0.7113997113997115,0.5983072916666666
